claim_id,policy_id,loss_date,report_date,paid,reserve,status,cause,peril,settlement_date
54,154,2023-10-20,2023-11-21,53230.75,0.0,Closed,n/a,Sturm/Hagel,2023-11-23
55,154,2024-04-09,2024-04-22,15455.66,0.0,Closed,n/a,Leitungswasser,2024-05-06
56,158,2023-01-11,2023-01-12,39203.32,0.0,Closed,n/a,Elementar,2023-02-16
57,159,2023-03-29,2023-03-29,77769.49,0.0,Closed,n/a,Einbruchdiebstahl,2023-04-11
58,174,2024-09-12,2024-09-25,10063.87,1994.45,Open,n/a,Elementar,2025-01-23
59,176,2022-11-10,2022-11-12,25741.84,0.0,Closed,n/a,Leitungswasser,2023-01-21
60,176,2024-06-23,2024-07-05,23368.2,0.0,Closed,n/a,Leitungswasser,2024-08-04
61,180,2024-02-27,2024-03-07,17060.38,0.0,Closed,n/a,Leitungswasser,2024-04-18
62,181,2023-07-07,2023-07-13,24539.84,0.0,Closed,n/a,Leitungswasser,2023-07-17
63,188,2021-03-24,2021-04-03,11692.21,0.0,Closed,n/a,Leitungswasser,2021-04-07
64,190,2021-06-14,2021-06-20,15235.86,0.0,Closed,n/a,Einbruchdiebstahl,2021-10-10
65,196,2023-10-28,2023-10-29,27405.18,0.0,Closed,n/a,Sturm/Hagel,2023-11-10
66,196,2023-10-11,2023-11-13,11790.5,0.0,Closed,n/a,Sturm/Hagel,2023-12-31
67,202,2024-12-23,2024-12-29,33430.17,11396.8,Open,n/a,Feuer,2025-02-18
68,205,2024-09-30,2024-10-09,20729.14,9418.23,Open,n/a,Sturm/Hagel,2025-02-17
69,207,2024-03-06,2024-03-06,12478.86,0.0,Closed,n/a,Sturm/Hagel,2024-09-29
70,211,2024-08-05,2024-08-10,4908.62,0.0,Closed,n/a,Sturm/Hagel,2024-09-05
71,212,2022-12-09,2022-12-09,4132.72,0.0,Closed,n/a,Einbruchdiebstahl,2023-03-02
72,212,2021-01-16,2021-01-18,22289.13,0.0,Closed,n/a,Leitungswasser,2021-06-01
73,214,2022-01-22,2022-02-14,105200.35,0.0,Closed,n/a,Feuer,2022-02-27
74,225,2024-12-09,2025-01-16,13075.92,3289.54,Open,n/a,Leitungswasser,2025-01-23
75,232,2022-05-06,2022-05-06,7270.83,0.0,Closed,n/a,Elementar,2022-05-16
76,232,2021-04-05,2021-04-06,25564.65,0.0,Closed,n/a,Einbruchdiebstahl,2021-04-16
77,233,2023-09-29,2023-10-05,27359.87,0.0,Closed,n/a,Leitungswasser,2023-12-26
78,241,2022-10-19,2022-11-20,151873.51,0.0,Closed,n/a,Sturm/Hagel,2022-12-07
79,242,2024-02-28,2024-02-29,12805.44,0.0,Closed,n/a,Leitungswasser,2024-04-28
80,242,2022-02-24,2022-03-03,32268.72,0.0,Closed,n/a,Feuer,2022-05-18
81,243,2023-06-21,2023-07-11,5461.73,0.0,Closed,n/a,Sturm/Hagel,2023-07-18
82,245,2022-05-31,2022-05-31,7893.33,0.0,Closed,n/a,Sturm/Hagel,2022-09-04
83,247,2022-09-20,2022-09-21,3092.6,0.0,Closed,n/a,Leitungswasser,2022-11-02
84,248,2024-09-12,2024-10-10,42066.16,0.0,Closed,n/a,Sturm/Hagel,2024-12-04
85,250,2022-09-06,2022-09-15,10810.74,0.0,Closed,n/a,Sturm/Hagel,2022-12-03
86,253,2024-12-23,2024-12-25,2895.14,416.24,Open,n/a,Sturm/Hagel,2025-02-10
87,254,2024-12-18,2024-12-21,6886.34,4329.47,Open,n/a,Leitungswasser,2025-02-06
88,254,2023-01-13,2023-01-13,111871.24,0.0,Closed,n/a,Sturm/Hagel,2023-04-29
89,254,2023-07-16,2023-07-19,40119.02,0.0,Closed,n/a,Elementar,2024-01-22
90,254,2023-05-16,2023-07-03,16098.93,0.0,Closed,n/a,Sturm/Hagel,2023-12-16
91,257,2023-03-22,2023-04-09,46890.21,0.0,Closed,n/a,Leitungswasser,2023-09-16
92,257,2023-04-18,2023-04-25,8428.5,0.0,Closed,n/a,Sturm/Hagel,2023-05-19
93,258,2021-09-18,2021-09-22,59895.75,0.0,Closed,n/a,Leitungswasser,2022-05-23
94,260,2023-09-10,2023-09-17,16359.03,0.0,Closed,n/a,Sturm/Hagel,2023-09-21
95,262,2022-04-16,2022-04-20,24548.36,0.0,Closed,n/a,Leitungswasser,2022-04-23
96,266,2024-03-08,2024-03-11,73403.72,0.0,Closed,n/a,Sturm/Hagel,2024-05-11
97,273,2023-11-21,2023-11-27,41367.13,0.0,Closed,n/a,Leitungswasser,2023-12-20
98,286,2023-03-15,2023-03-27,52519.26,0.0,Closed,n/a,Leitungswasser,2023-06-17
99,287,2022-12-09,2023-01-04,47637.35,0.0,Closed,n/a,Sturm/Hagel,2023-03-14
100,288,2022-04-17,2022-04-27,14053.84,0.0,Closed,n/a,Sturm/Hagel,2023-02-28
101,302,2024-06-04,2024-06-15,28554.41,0.0,Closed,n/a,Sturm/Hagel,2024-08-01
102,307,2022-12-28,2022-12-31,23097.76,0.0,Closed,n/a,Sturm/Hagel,2023-04-20
103,311,2024-09-28,2024-10-24,2475.89,0.0,Closed,n/a,Leitungswasser,2024-11-04
104,311,2024-07-03,2024-07-14,9213.6,0.0,Closed,n/a,Elementar,2024-07-30
105,316,2023-07-16,2023-07-17,9063.08,0.0,Closed,n/a,Leitungswasser,2023-09-18
106,318,2024-01-20,2024-01-22,18607.21,0.0,Closed,n/a,Leitungswasser,2024-02-10
107,319,2022-04-11,2022-05-11,11396.67,0.0,Closed,n/a,Leitungswasser,2022-08-05
108,328,2023-10-04,2023-10-17,15752.69,0.0,Closed,n/a,Sturm/Hagel,2024-02-05
109,331,2022-10-03,2022-10-06,72131.4,0.0,Closed,n/a,Leitungswasser,2022-11-01
110,338,2022-07-20,2022-07-21,10324.1,0.0,Closed,n/a,Leitungswasser,2022-09-25
111,343,2022-09-02,2022-09-12,11611.64,0.0,Closed,n/a,Leitungswasser,2022-10-22
112,343,2023-09-21,2023-09-27,48626.51,0.0,Closed,n/a,Leitungswasser,2023-10-15
113,347,2021-09-22,2021-10-01,17380.47,0.0,Closed,n/a,Leitungswasser,2021-11-14
114,348,2024-05-19,2024-06-11,114764.49,0.0,Closed,n/a,Feuer,2024-07-04
115,371,2024-09-26,2024-09-28,23437.72,8407.51,Open,n/a,Sturm/Hagel,2025-02-01
116,373,2021-02-28,2021-03-11,48725.11,0.0,Closed,n/a,Leitungswasser,2021-04-02
117,383,2023-08-31,2023-09-03,12594.28,0.0,Closed,n/a,Feuer,2023-10-05
118,384,2024-11-26,2024-12-13,36859.49,20953.8,Open,n/a,Sturm/Hagel,2025-02-12
119,388,2021-06-10,2021-06-20,35303.68,0.0,Closed,n/a,Sturm/Hagel,2021-07-06
120,396,2023-01-03,2023-01-16,13642.31,0.0,Closed,n/a,Sturm/Hagel,2023-04-16
121,403,2022-12-27,2023-01-04,11493.78,0.0,Closed,n/a,Sturm/Hagel,2023-01-05
122,408,2024-10-27,2024-10-28,22208.42,0.0,Closed,n/a,Einbruchdiebstahl,2024-11-26
123,411,2024-05-28,2024-06-20,8187.14,0.0,Closed,n/a,Sturm/Hagel,2024-08-19
124,412,2022-04-12,2022-04-14,42913.63,0.0,Closed,n/a,Sturm/Hagel,2022-10-15
125,413,2024-03-16,2024-03-21,3644.58,0.0,Closed,n/a,Feuer,2024-07-04
126,414,2024-01-27,2024-01-30,9104.32,0.0,Closed,n/a,Leitungswasser,2024-02-12
127,415,2021-02-05,2021-02-06,16806.86,0.0,Closed,n/a,Leitungswasser,2021-03-09
128,417,2024-03-12,2024-03-18,54404.24,0.0,Closed,n/a,Sturm/Hagel,2024-03-26
129,419,2023-12-08,2023-12-09,33271.72,0.0,Closed,n/a,Leitungswasser,2024-03-31
130,424,2021-03-06,2021-03-24,10233.31,0.0,Closed,n/a,Leitungswasser,2021-06-05
131,431,2024-11-06,2024-11-16,10058.52,0.0,Closed,n/a,Feuer,2024-12-20
132,433,2023-01-17,2023-01-17,37767.35,0.0,Closed,n/a,Feuer,2023-02-03
133,443,2023-07-08,2023-07-14,77488.52,0.0,Closed,n/a,Sturm/Hagel,2023-08-21
134,443,2021-11-30,2021-12-24,27086.53,0.0,Closed,n/a,Sturm/Hagel,2022-06-13
135,443,2021-10-09,2021-10-26,19783.3,0.0,Closed,n/a,Leitungswasser,2022-01-03
136,456,2020-06-05,2020-06-16,4382.71,0.0,Closed,n/a,Leitungswasser,2020-06-18
137,456,2020-12-27,2021-01-09,21040.93,0.0,Closed,n/a,Leitungswasser,2021-02-17
138,457,2024-07-27,2024-08-07,17633.75,0.0,Closed,n/a,Sturm/Hagel,2024-12-14
139,464,2020-06-22,2020-06-22,43679.1,0.0,Closed,n/a,Leitungswasser,2020-12-31
140,469,2024-10-16,2024-11-02,53156.94,0.0,Closed,n/a,Feuer,2024-11-28
141,475,2022-04-19,2022-04-21,2789.09,0.0,Closed,n/a,Leitungswasser,2022-05-29
142,476,2023-05-06,2023-05-10,4490.89,0.0,Closed,n/a,Leitungswasser,2023-07-06
143,477,2023-09-11,2023-10-13,55803.68,0.0,Closed,n/a,Sturm/Hagel,2023-11-21
144,479,2021-01-03,2021-01-31,120783.7,0.0,Closed,n/a,Sturm/Hagel,2021-03-09
145,484,2023-05-17,2023-05-26,4225.22,0.0,Closed,n/a,Leitungswasser,2023-12-14
146,485,2022-07-24,2022-07-27,20240.49,0.0,Closed,n/a,Leitungswasser,2022-12-04
147,494,2024-04-30,2024-05-26,15017.54,0.0,Closed,n/a,Leitungswasser,2024-08-03
148,507,2023-05-28,2023-06-01,8016.35,0.0,Closed,n/a,Sturm/Hagel,2023-06-05
149,509,2022-11-02,2022-11-06,40247.28,0.0,Closed,n/a,Leitungswasser,2022-11-18
150,511,2023-05-17,2023-05-29,31424.33,0.0,Closed,n/a,Leitungswasser,2023-08-08
151,517,2023-12-01,2023-12-12,24357.31,0.0,Closed,n/a,Leitungswasser,2024-04-27
152,517,2022-11-04,2022-11-09,16942.41,0.0,Closed,n/a,Leitungswasser,2023-01-03
153,525,2023-02-07,2023-02-09,61140.84,0.0,Closed,n/a,Leitungswasser,2023-03-07
154,526,2021-10-06,2021-11-08,41310.59,0.0,Closed,n/a,Feuer,2021-12-09
155,527,2022-11-01,2022-11-04,4676.54,0.0,Closed,n/a,Leitungswasser,2022-11-04
156,531,2022-08-07,2022-09-06,36416.2,0.0,Closed,n/a,Sturm/Hagel,2022-10-12
157,531,2023-03-27,2023-04-09,31302.19,0.0,Closed,n/a,Feuer,2023-05-26
158,535,2022-04-18,2022-04-19,8947.04,0.0,Closed,n/a,Sturm/Hagel,2022-04-21
159,537,2023-10-18,2023-10-22,17776.44,0.0,Closed,n/a,Einbruchdiebstahl,2023-11-17
160,540,2021-10-15,2021-10-15,60490.14,0.0,Closed,n/a,Elementar,2022-01-26
161,546,2024-11-30,2024-12-01,25350.54,5304.18,Open,n/a,Leitungswasser,2025-03-10
162,547,2023-08-31,2023-09-15,14592.84,0.0,Closed,n/a,Leitungswasser,2023-09-23
163,559,2023-05-30,2023-06-02,35095.26,0.0,Closed,n/a,Sturm/Hagel,2023-06-06
164,563,2024-07-15,2024-07-25,17696.34,0.0,Closed,n/a,Leitungswasser,2024-09-05
165,566,2023-03-23,2023-03-26,47469.16,0.0,Closed,n/a,Leitungswasser,2023-04-06
166,567,2022-05-10,2022-06-03,3268.87,0.0,Closed,n/a,Leitungswasser,2022-06-27
167,573,2024-01-21,2024-01-28,58115.31,0.0,Closed,n/a,Feuer,2024-03-04
168,576,2023-10-15,2023-12-13,7723.85,0.0,Closed,n/a,Leitungswasser,2024-01-07
169,577,2024-08-20,2024-08-25,19122.28,0.0,Closed,n/a,Leitungswasser,2024-09-28
170,577,2023-11-29,2023-12-04,9276.66,0.0,Closed,n/a,Sturm/Hagel,2024-01-17
171,582,2024-03-18,2024-03-19,8723.69,0.0,Closed,n/a,Feuer,2024-04-22
172,594,2022-12-31,2023-02-26,16972.56,0.0,Closed,n/a,Elementar,2023-04-11
173,600,2024-12-28,2025-01-07,85789.59,6253.82,Open,n/a,Sturm/Hagel,2025-04-07
174,605,2023-03-20,2023-03-25,4432.28,0.0,Closed,n/a,Elementar,2023-04-11
175,612,2022-01-15,2022-01-15,33713.37,0.0,Closed,n/a,Leitungswasser,2022-07-07
176,618,2024-02-03,2024-04-11,47423.34,0.0,Closed,n/a,Leitungswasser,2024-06-30
177,618,2023-06-16,2023-06-16,86554.72,0.0,Closed,n/a,Leitungswasser,2023-09-01
178,622,2023-03-04,2023-03-24,17058.98,0.0,Closed,n/a,Leitungswasser,2023-05-04
179,624,2022-10-12,2022-10-12,30400.31,0.0,Closed,n/a,Sturm/Hagel,2022-11-23
180,630,2024-03-22,2024-03-22,19015.78,0.0,Closed,n/a,Sturm/Hagel,2024-07-26
181,632,2021-11-24,2021-11-28,5664.18,0.0,Closed,n/a,Sturm/Hagel,2021-12-13
182,635,2023-10-24,2023-10-25,17981.6,0.0,Closed,n/a,Sturm/Hagel,2024-03-08
183,635,2022-11-21,2022-11-28,47337.94,0.0,Closed,n/a,Feuer,2022-11-29
184,637,2024-12-01,2024-12-09,1728.33,0.0,Closed,n/a,Sturm/Hagel,2024-12-20
185,637,2022-10-29,2022-10-30,6438.46,0.0,Closed,n/a,Elementar,2023-03-25
186,639,2023-05-06,2023-06-05,2280.97,0.0,Closed,n/a,Sturm/Hagel,2023-06-13
187,645,2021-10-26,2021-10-27,8045.45,0.0,Closed,n/a,Leitungswasser,2022-03-13
188,648,2022-07-18,2022-07-19,32104.72,0.0,Closed,n/a,Leitungswasser,2023-04-26
189,650,2023-07-04,2023-07-05,22337.65,0.0,Closed,n/a,Leitungswasser,2023-07-24
190,651,2023-08-07,2023-08-19,31311.89,0.0,Closed,n/a,Feuer,2023-09-20
191,658,2021-02-25,2021-03-05,11983.88,0.0,Closed,n/a,Leitungswasser,2021-05-28
192,662,2022-10-15,2022-10-29,70323.33,0.0,Closed,n/a,Leitungswasser,2022-11-19
193,665,2022-06-02,2022-06-04,23383.66,0.0,Closed,n/a,Leitungswasser,2022-07-12
194,665,2020-09-05,2020-09-24,111318.34,0.0,Closed,n/a,Feuer,2020-10-04
195,675,2023-09-11,2023-09-22,21552.89,0.0,Closed,n/a,Leitungswasser,2023-12-29
196,678,2020-05-31,2020-05-31,6296.68,0.0,Closed,n/a,Leitungswasser,2020-06-22
197,680,2024-07-15,2024-07-20,30711.01,0.0,Closed,n/a,Leitungswasser,2024-11-28
198,681,2022-09-16,2022-10-19,20583.33,0.0,Closed,n/a,Feuer,2023-02-28
199,687,2024-11-07,2024-11-07,101315.66,0.0,Closed,n/a,Leitungswasser,2024-11-24
200,696,2022-05-30,2022-06-10,9868.67,0.0,Closed,n/a,Leitungswasser,2022-07-13
201,699,2021-08-14,2021-08-24,45217.98,0.0,Closed,n/a,Sturm/Hagel,2021-10-18
202,699,2022-04-11,2022-04-15,14897.6,0.0,Closed,n/a,Einbruchdiebstahl,2022-08-29
203,704,2022-01-19,2022-01-27,59627.93,0.0,Closed,n/a,Leitungswasser,2022-02-02
204,704,2021-03-04,2021-03-10,24741.83,0.0,Closed,n/a,Elementar,2021-05-03
205,705,2020-09-12,2020-10-03,7879.16,0.0,Closed,n/a,Sturm/Hagel,2020-10-22
206,706,2022-08-07,2022-08-09,107683.25,0.0,Closed,n/a,Feuer,2022-08-22
207,707,2024-08-14,2024-08-16,64104.8,0.0,Closed,n/a,Leitungswasser,2024-08-18
208,709,2024-08-21,2024-08-23,6727.85,0.0,Closed,n/a,Feuer,2024-10-24
209,717,2024-02-12,2024-02-20,21483.5,0.0,Closed,n/a,Leitungswasser,2024-02-27
210,718,2023-04-25,2023-05-01,40503.37,0.0,Closed,n/a,Leitungswasser,2023-07-02
211,720,2023-06-05,2023-06-10,28845.46,0.0,Closed,n/a,Leitungswasser,2023-09-22
212,721,2022-05-17,2022-06-06,2926.7,0.0,Closed,n/a,Einbruchdiebstahl,2022-08-27
213,721,2024-01-03,2024-01-14,1969.36,0.0,Closed,n/a,Elementar,2024-01-23
214,723,2024-07-31,2024-08-05,67657.88,0.0,Closed,n/a,Leitungswasser,2024-08-07
215,727,2022-03-11,2022-04-12,8602.58,0.0,Closed,n/a,Sturm/Hagel,2022-04-19
216,730,2022-01-12,2022-02-03,5306.36,0.0,Closed,n/a,Einbruchdiebstahl,2022-02-06
217,741,2021-05-18,2021-05-19,10344.17,0.0,Closed,n/a,Sturm/Hagel,2021-06-01
218,751,2023-05-05,2023-06-03,7898.74,0.0,Closed,n/a,Sturm/Hagel,2023-06-03
219,761,2023-10-25,2023-11-12,5018.7,0.0,Closed,n/a,Sturm/Hagel,2023-11-14
220,764,2022-08-07,2022-08-16,11020.96,0.0,Closed,n/a,Sturm/Hagel,2022-09-03
221,766,2021-02-07,2021-02-24,12841.7,0.0,Closed,n/a,Leitungswasser,2021-03-31
222,766,2020-11-26,2020-12-07,13027.97,0.0,Closed,n/a,Leitungswasser,2021-06-17
223,774,2024-08-13,2024-08-26,23222.3,0.0,Closed,n/a,Elementar,2024-11-17
224,777,2024-06-16,2024-06-18,6286.83,0.0,Closed,n/a,Sturm/Hagel,2024-08-20
225,781,2021-01-06,2021-01-07,15594.67,0.0,Closed,n/a,Feuer,2021-04-03
226,790,2022-07-14,2022-07-18,18795.73,0.0,Closed,n/a,Feuer,2022-07-26
227,791,2022-04-26,2022-04-26,35539.69,0.0,Closed,n/a,Sturm/Hagel,2022-06-07
228,792,2023-06-10,2023-08-09,58021.53,0.0,Closed,n/a,Leitungswasser,2023-08-15
229,798,2022-09-05,2022-09-16,7882.9,0.0,Closed,n/a,Leitungswasser,2023-01-19
230,799,2020-08-13,2020-08-19,21059.6,0.0,Closed,n/a,Leitungswasser,2020-10-14
231,804,2020-04-18,2020-04-24,7293.37,0.0,Closed,n/a,Leitungswasser,2020-06-08
232,810,2022-05-09,2022-05-10,6341.66,0.0,Closed,n/a,Leitungswasser,2022-05-22
233,812,2023-04-28,2023-04-30,4128.55,0.0,Closed,n/a,Leitungswasser,2023-06-25
234,831,2022-08-17,2022-08-24,37408.0,0.0,Closed,n/a,Sturm/Hagel,2022-09-29
235,831,2021-03-10,2021-03-20,11058.99,0.0,Closed,n/a,Leitungswasser,2021-06-18
236,836,2021-09-22,2021-10-12,16084.1,0.0,Closed,n/a,Leitungswasser,2021-12-30
237,836,2020-06-11,2020-06-16,10730.65,0.0,Closed,n/a,Leitungswasser,2020-07-31
238,837,2022-01-27,2022-02-21,11859.35,0.0,Closed,n/a,Sturm/Hagel,2022-03-08
239,837,2022-09-14,2022-09-15,23886.73,0.0,Closed,n/a,Leitungswasser,2022-10-27
240,839,2021-10-24,2021-10-28,128947.46,0.0,Closed,n/a,Feuer,2021-11-21
241,839,2024-06-19,2024-06-22,33785.41,0.0,Closed,n/a,Leitungswasser,2024-11-04
242,842,2024-02-17,2024-03-12,24866.46,0.0,Closed,n/a,Sturm/Hagel,2024-03-15
243,843,2022-07-19,2022-08-04,27613.24,0.0,Closed,n/a,Leitungswasser,2022-11-23
244,847,2024-01-25,2024-03-05,102779.2,0.0,Closed,n/a,Leitungswasser,2024-03-09
245,854,2024-11-10,2024-11-15,18143.95,0.0,Closed,n/a,Leitungswasser,2024-11-26
246,855,2022-11-01,2022-11-07,59409.69,0.0,Closed,n/a,Elementar,2023-03-22
247,857,2021-04-02,2021-04-07,52495.38,0.0,Closed,n/a,Leitungswasser,2021-05-25
248,859,2021-03-17,2021-03-17,37129.17,0.0,Closed,n/a,Sturm/Hagel,2021-03-26
249,860,2024-01-16,2024-02-01,15180.29,0.0,Closed,n/a,Sturm/Hagel,2024-04-21
250,861,2022-06-16,2022-06-21,87918.75,0.0,Closed,n/a,Feuer,2022-12-13
251,867,2023-12-10,2024-01-18,2044.11,0.0,Closed,n/a,Feuer,2024-03-05
252,872,2022-02-06,2022-02-06,9509.25,0.0,Closed,n/a,Leitungswasser,2022-02-17
253,873,2023-02-08,2023-02-12,41042.11,0.0,Closed,n/a,Einbruchdiebstahl,2023-05-28
254,874,2023-01-07,2023-01-12,2245.68,0.0,Closed,n/a,Leitungswasser,2023-05-22
255,876,2021-04-14,2021-04-14,24119.61,0.0,Closed,n/a,Leitungswasser,2021-05-30
256,877,2022-12-16,2022-12-28,5473.35,0.0,Closed,n/a,Sturm/Hagel,2023-02-23
257,877,2024-03-01,2024-04-05,2424.45,0.0,Closed,n/a,Leitungswasser,2024-05-26
258,878,2023-02-20,2023-02-25,22014.18,0.0,Closed,n/a,Leitungswasser,2023-03-16
259,879,2022-06-08,2022-06-14,37781.44,0.0,Closed,n/a,Leitungswasser,2022-07-26
260,883,2024-04-27,2024-04-27,24760.45,0.0,Closed,n/a,Leitungswasser,2024-07-11
261,884,2023-02-17,2023-02-24,8977.65,0.0,Closed,n/a,Sturm/Hagel,2023-06-07
262,885,2021-05-01,2021-05-11,2402.0,0.0,Closed,n/a,Leitungswasser,2021-05-12
263,893,2023-02-21,2023-03-02,6861.36,0.0,Closed,n/a,Leitungswasser,2023-07-06
264,893,2022-07-02,2022-07-08,55710.87,0.0,Closed,n/a,Sturm/Hagel,2022-12-07
265,894,2020-09-03,2020-09-15,87036.2,0.0,Closed,n/a,Leitungswasser,2020-10-16
266,896,2024-05-01,2024-05-03,4067.6,0.0,Closed,n/a,Feuer,2024-06-12
267,898,2022-08-10,2022-08-16,20011.86,0.0,Closed,n/a,Einbruchdiebstahl,2022-11-07
268,900,2021-02-28,2021-03-02,20769.46,0.0,Closed,n/a,Sturm/Hagel,2021-05-09
269,909,2021-12-01,2021-12-16,256848.31,0.0,Closed,n/a,Feuer,2022-02-23
270,910,2023-02-05,2023-02-10,22003.0,0.0,Closed,n/a,Feuer,2023-03-02
271,912,2023-12-05,2023-12-11,16200.28,0.0,Closed,n/a,Einbruchdiebstahl,2023-12-23
272,912,2023-04-14,2023-05-01,31308.88,0.0,Closed,n/a,Feuer,2023-06-10
273,918,2022-10-09,2022-10-11,16107.37,0.0,Closed,n/a,Einbruchdiebstahl,2022-10-14
274,918,2022-04-21,2022-04-21,36358.47,0.0,Closed,n/a,Leitungswasser,2022-05-23
275,918,2023-01-20,2023-01-28,38148.56,0.0,Closed,n/a,Sturm/Hagel,2023-04-23
276,921,2024-06-04,2024-06-23,3806.98,380.9,Open,n/a,Sturm/Hagel,2025-03-07
