policy_id,factor_name,factor_level
36,nutzung,Vermietet
36,gebaeudeart,DHH
36,sicherungen,Erweitert
36,hochwasserzone,HWZ3
36,roof_material,Ziegel
36,heizung,Wärmepumpe
37,plz_zone,C
37,baujahr_klasse,<1950
37,dachart,Walmdach
37,nutzung,Eigennutzung
37,gebaeudeart,Reihenhaus
37,sicherungen,Erweitert
37,hochwasserzone,HWZ0
37,roof_material,Blech
37,heizung,Gas
38,plz_zone,B
38,baujahr_klasse,1980-1999
38,dachart,Sattel
38,nutzung,Eigennutzung
38,gebaeudeart,DHH
38,sicherungen,Erweitert
38,hochwasserzone,HWZ0
38,roof_material,Schiefer
38,heizung,Oel
39,plz_zone,B
39,baujahr_klasse,2000-2009
39,dachart,Walmdach
39,nutzung,Vermietet
39,gebaeudeart,EFH
39,sicherungen,Standard
39,hochwasserzone,HWZ2
39,roof_material,Bitumen
39,heizung,Oel
40,plz_zone,C
40,baujahr_klasse,2000-2009
40,dachart,Walmdach
40,nutzung,Eigennutzung
40,gebaeudeart,Reihenhaus
40,sicherungen,Erweitert
40,hochwasserzone,HWZ2
40,roof_material,Schiefer
40,heizung,Oel
41,plz_zone,B
41,baujahr_klasse,1980-1999
41,dachart,Sattel
41,nutzung,Eigennutzung
41,gebaeudeart,DHH
41,sicherungen,Standard
41,hochwasserzone,HWZ0
41,roof_material,Schiefer
41,heizung,Gas
42,plz_zone,B
42,baujahr_klasse,1980-1999
42,dachart,Walmdach
42,nutzung,Vermietet
42,gebaeudeart,DHH
42,sicherungen,Erweitert
42,hochwasserzone,HWZ3
42,roof_material,Schiefer
42,heizung,Wärmepumpe
43,plz_zone,D
43,baujahr_klasse,<1950
43,dachart,Flach
43,nutzung,Eigennutzung
43,gebaeudeart,Reihenhaus
43,sicherungen,Standard
43,hochwasserzone,HWZ3
43,roof_material,Schiefer
43,heizung,Gas
44,plz_zone,A
44,baujahr_klasse,2000-2009
44,dachart,Flach
44,nutzung,Vermietet
44,gebaeudeart,Reihenhaus
44,sicherungen,Standard
44,hochwasserzone,HWZ0
44,roof_material,Blech
44,heizung,Fernwärme
45,plz_zone,B
45,baujahr_klasse,1950-1979
45,dachart,Flach
45,nutzung,Vermietet
45,gebaeudeart,MFH
45,sicherungen,Erweitert
45,hochwasserzone,HWZ2
45,roof_material,Ziegel
45,heizung,Oel
46,plz_zone,B
46,baujahr_klasse,1950-1979
46,dachart,Walmdach
46,nutzung,Vermietet
46,gebaeudeart,Reihenhaus
46,sicherungen,Erweitert
46,hochwasserzone,HWZ3
46,roof_material,Ziegel
46,heizung,Fernwärme
47,plz_zone,C
47,baujahr_klasse,1950-1979
47,dachart,Walmdach
47,nutzung,Vermietet
47,gebaeudeart,EFH
47,sicherungen,Standard
47,hochwasserzone,HWZ1
47,roof_material,Ziegel
47,heizung,Gas
48,plz_zone,A
48,baujahr_klasse,1950-1979
48,dachart,Walmdach
48,nutzung,Eigennutzung
48,gebaeudeart,MFH
48,sicherungen,Standard
48,hochwasserzone,HWZ2
48,roof_material,Schiefer
48,heizung,Oel
49,plz_zone,D
49,baujahr_klasse,2010+
49,dachart,Flach
49,nutzung,Vermietet
49,gebaeudeart,EFH
49,sicherungen,Standard
49,hochwasserzone,HWZ1
49,roof_material,Blech
49,heizung,Fernwärme
50,plz_zone,D
50,baujahr_klasse,2000-2009
50,dachart,Walmdach
50,nutzung,Vermietet
50,gebaeudeart,EFH
50,sicherungen,Standard
50,hochwasserzone,HWZ2
50,roof_material,Bitumen
50,heizung,Wärmepumpe
51,plz_zone,B
51,baujahr_klasse,1980-1999
51,dachart,Sattel
51,nutzung,Eigennutzung
51,gebaeudeart,Reihenhaus
51,sicherungen,Standard
51,hochwasserzone,HWZ0
51,roof_material,Ziegel
51,heizung,Fernwärme
52,plz_zone,C
52,baujahr_klasse,2010+
52,dachart,Flach
52,nutzung,Vermietet
52,gebaeudeart,Reihenhaus
52,sicherungen,Standard
52,hochwasserzone,HWZ3
52,roof_material,Ziegel
52,heizung,Fernwärme
53,plz_zone,B
53,baujahr_klasse,1980-1999
53,dachart,Sattel
53,nutzung,Eigennutzung
53,gebaeudeart,DHH
53,sicherungen,Erweitert
53,hochwasserzone,HWZ1
53,roof_material,Schiefer
53,heizung,Oel
54,plz_zone,A
54,baujahr_klasse,1950-1979
54,dachart,Flach
54,nutzung,Eigennutzung
54,gebaeudeart,MFH
54,sicherungen,Erweitert
54,hochwasserzone,HWZ2
54,roof_material,Schiefer
54,heizung,Oel
55,plz_zone,A
55,baujahr_klasse,1950-1979
55,dachart,Walmdach
55,nutzung,Eigennutzung
55,gebaeudeart,Reihenhaus
55,sicherungen,Standard
55,hochwasserzone,HWZ3
55,roof_material,Bitumen
55,heizung,Gas
56,plz_zone,C
56,baujahr_klasse,1980-1999
56,dachart,Sattel
56,nutzung,Vermietet
56,gebaeudeart,MFH
56,sicherungen,Standard
56,hochwasserzone,HWZ3
56,roof_material,Ziegel
56,heizung,Oel
57,plz_zone,D
57,baujahr_klasse,1980-1999
57,dachart,Walmdach
57,nutzung,Vermietet
57,gebaeudeart,EFH
57,sicherungen,Erweitert
57,hochwasserzone,HWZ2
57,roof_material,Ziegel
57,heizung,Fernwärme
58,plz_zone,C
58,baujahr_klasse,1980-1999
58,dachart,Sattel
58,nutzung,Vermietet
58,gebaeudeart,DHH
58,sicherungen,Erweitert
58,hochwasserzone,HWZ3
58,roof_material,Blech
58,heizung,Gas
59,plz_zone,C
59,baujahr_klasse,1950-1979
59,dachart,Sattel
59,nutzung,Eigennutzung
59,gebaeudeart,EFH
59,sicherungen,Erweitert
59,hochwasserzone,HWZ0
59,roof_material,Schiefer
59,heizung,Oel
60,plz_zone,C
60,baujahr_klasse,2000-2009
60,dachart,Walmdach
60,nutzung,Vermietet
60,gebaeudeart,DHH
60,sicherungen,Standard
60,hochwasserzone,HWZ3
60,roof_material,Ziegel
60,heizung,Fernwärme
61,plz_zone,D
61,baujahr_klasse,1950-1979
61,dachart,Flach
61,nutzung,Eigennutzung
61,gebaeudeart,MFH
61,sicherungen,Standard
61,hochwasserzone,HWZ1
61,roof_material,Ziegel
61,heizung,Fernwärme
62,plz_zone,D
62,baujahr_klasse,<1950
62,dachart,Flach
62,nutzung,Eigennutzung
62,gebaeudeart,DHH
62,sicherungen,Standard
62,hochwasserzone,HWZ3
62,roof_material,Bitumen
62,heizung,Wärmepumpe
63,plz_zone,A
63,baujahr_klasse,1950-1979
63,dachart,Flach
63,nutzung,Vermietet
63,gebaeudeart,Reihenhaus
63,sicherungen,Erweitert
63,hochwasserzone,HWZ0
63,roof_material,Bitumen
63,heizung,Wärmepumpe
64,plz_zone,C
64,baujahr_klasse,2000-2009
64,dachart,Sattel
64,nutzung,Eigennutzung
64,gebaeudeart,EFH
64,sicherungen,Erweitert
64,hochwasserzone,HWZ0
64,roof_material,Blech
64,heizung,Wärmepumpe
65,plz_zone,D
65,baujahr_klasse,1980-1999
65,dachart,Walmdach
65,nutzung,Eigennutzung
65,gebaeudeart,MFH
65,sicherungen,Erweitert
65,hochwasserzone,HWZ1
65,roof_material,Bitumen
65,heizung,Fernwärme
66,plz_zone,D
66,baujahr_klasse,<1950
66,dachart,Flach
66,nutzung,Vermietet
66,gebaeudeart,DHH
66,sicherungen,Erweitert
66,hochwasserzone,HWZ1
66,roof_material,Bitumen
66,heizung,Wärmepumpe
67,plz_zone,C
67,baujahr_klasse,2000-2009
67,dachart,Flach
67,nutzung,Vermietet
67,gebaeudeart,MFH
67,sicherungen,Erweitert
67,hochwasserzone,HWZ3
67,roof_material,Blech
67,heizung,Gas
68,plz_zone,D
68,baujahr_klasse,1950-1979
68,dachart,Flach
68,nutzung,Vermietet
68,gebaeudeart,Reihenhaus
68,sicherungen,Erweitert
68,hochwasserzone,HWZ3
68,roof_material,Blech
68,heizung,Wärmepumpe
69,plz_zone,D
69,baujahr_klasse,1950-1979
69,dachart,Walmdach
69,nutzung,Vermietet
69,gebaeudeart,DHH
69,sicherungen,Standard
69,hochwasserzone,HWZ0
69,roof_material,Ziegel
69,heizung,Wärmepumpe
70,plz_zone,B
70,baujahr_klasse,2010+
70,dachart,Flach
70,nutzung,Vermietet
70,gebaeudeart,EFH
70,sicherungen,Standard
70,hochwasserzone,HWZ0
70,roof_material,Bitumen
70,heizung,Fernwärme
71,plz_zone,B
71,baujahr_klasse,<1950
71,dachart,Flach
71,nutzung,Vermietet
71,gebaeudeart,MFH
71,sicherungen,Standard
71,hochwasserzone,HWZ2
71,roof_material,Bitumen
71,heizung,Gas
72,plz_zone,D
72,baujahr_klasse,1950-1979
72,dachart,Sattel
72,nutzung,Eigennutzung
72,gebaeudeart,Reihenhaus
72,sicherungen,Erweitert
72,hochwasserzone,HWZ1
72,roof_material,Blech
72,heizung,Fernwärme
73,plz_zone,C
73,baujahr_klasse,2000-2009
73,dachart,Sattel
73,nutzung,Vermietet
73,gebaeudeart,DHH
73,sicherungen,Standard
73,hochwasserzone,HWZ3
73,roof_material,Schiefer
73,heizung,Wärmepumpe
74,plz_zone,B
74,baujahr_klasse,1980-1999
74,dachart,Walmdach
74,nutzung,Vermietet
74,gebaeudeart,MFH
74,sicherungen,Standard
74,hochwasserzone,HWZ1
74,roof_material,Schiefer
74,heizung,Fernwärme
75,plz_zone,C
75,baujahr_klasse,2000-2009
75,dachart,Sattel
75,nutzung,Eigennutzung
75,gebaeudeart,DHH
75,sicherungen,Standard
75,hochwasserzone,HWZ0
75,roof_material,Ziegel
75,heizung,Gas
76,plz_zone,B
76,baujahr_klasse,2000-2009
76,dachart,Walmdach
76,nutzung,Vermietet
76,gebaeudeart,MFH
76,sicherungen,Standard
76,hochwasserzone,HWZ3
76,roof_material,Bitumen
76,heizung,Wärmepumpe
77,plz_zone,C
77,baujahr_klasse,1980-1999
77,dachart,Walmdach
77,nutzung,Eigennutzung
77,gebaeudeart,EFH
77,sicherungen,Erweitert
77,hochwasserzone,HWZ1
77,roof_material,Ziegel
77,heizung,Gas
78,plz_zone,D
78,baujahr_klasse,1980-1999
78,dachart,Flach
78,nutzung,Vermietet
78,gebaeudeart,DHH
78,sicherungen,Standard
78,hochwasserzone,HWZ3
78,roof_material,Schiefer
78,heizung,Oel
79,plz_zone,B
79,baujahr_klasse,<1950
79,dachart,Sattel
79,nutzung,Vermietet
79,gebaeudeart,EFH
79,sicherungen,Erweitert
79,hochwasserzone,HWZ3
79,roof_material,Schiefer
79,heizung,Oel
80,plz_zone,B
80,baujahr_klasse,1950-1979
80,dachart,Walmdach
80,nutzung,Eigennutzung
80,gebaeudeart,DHH
80,sicherungen,Erweitert
80,hochwasserzone,HWZ0
80,roof_material,Ziegel
80,heizung,Fernwärme
81,plz_zone,D
81,baujahr_klasse,<1950
81,dachart,Walmdach
81,nutzung,Vermietet
81,gebaeudeart,DHH
81,sicherungen,Standard
81,hochwasserzone,HWZ1
81,roof_material,Blech
81,heizung,Wärmepumpe
82,plz_zone,A
82,baujahr_klasse,2000-2009
82,dachart,Walmdach
82,nutzung,Vermietet
82,gebaeudeart,EFH
82,sicherungen,Standard
82,hochwasserzone,HWZ1
82,roof_material,Blech
82,heizung,Wärmepumpe
83,plz_zone,B
83,baujahr_klasse,<1950
83,dachart,Sattel
83,nutzung,Vermietet
83,gebaeudeart,EFH
83,sicherungen,Standard
83,hochwasserzone,HWZ0
83,roof_material,Blech
83,heizung,Oel
84,plz_zone,D
84,baujahr_klasse,<1950
84,dachart,Flach
84,nutzung,Vermietet
84,gebaeudeart,DHH
84,sicherungen,Erweitert
84,hochwasserzone,HWZ2
84,roof_material,Blech
84,heizung,Oel
85,plz_zone,B
85,baujahr_klasse,2000-2009
85,dachart,Flach
85,nutzung,Vermietet
85,gebaeudeart,MFH
85,sicherungen,Standard
85,hochwasserzone,HWZ2
85,roof_material,Bitumen
85,heizung,Oel
86,plz_zone,B
86,baujahr_klasse,2010+
86,dachart,Flach
86,nutzung,Vermietet
86,gebaeudeart,EFH
86,sicherungen,Erweitert
86,hochwasserzone,HWZ0
86,roof_material,Ziegel
86,heizung,Wärmepumpe
87,plz_zone,A
87,baujahr_klasse,1980-1999
87,dachart,Flach
87,nutzung,Eigennutzung
87,gebaeudeart,Reihenhaus
87,sicherungen,Standard
87,hochwasserzone,HWZ2
87,roof_material,Ziegel
87,heizung,Gas
88,plz_zone,A
88,baujahr_klasse,2000-2009
88,dachart,Sattel
88,nutzung,Eigennutzung
88,gebaeudeart,DHH
88,sicherungen,Erweitert
88,hochwasserzone,HWZ2
88,roof_material,Bitumen
88,heizung,Oel
89,plz_zone,A
89,baujahr_klasse,2010+
89,dachart,Walmdach
89,nutzung,Eigennutzung
89,gebaeudeart,DHH
89,sicherungen,Standard
89,hochwasserzone,HWZ1
89,roof_material,Ziegel
89,heizung,Oel
90,plz_zone,D
90,baujahr_klasse,<1950
90,dachart,Sattel
90,nutzung,Eigennutzung
90,gebaeudeart,MFH
90,sicherungen,Standard
90,hochwasserzone,HWZ2
90,roof_material,Ziegel
90,heizung,Gas
91,plz_zone,B
91,baujahr_klasse,2010+
91,dachart,Flach
91,nutzung,Eigennutzung
91,gebaeudeart,MFH
91,sicherungen,Erweitert
91,hochwasserzone,HWZ2
91,roof_material,Schiefer
91,heizung,Fernwärme
92,plz_zone,C
92,baujahr_klasse,2000-2009
92,dachart,Walmdach
92,nutzung,Vermietet
92,gebaeudeart,MFH
92,sicherungen,Standard
92,hochwasserzone,HWZ3
92,roof_material,Schiefer
92,heizung,Wärmepumpe
93,plz_zone,A
93,baujahr_klasse,2010+
93,dachart,Sattel
93,nutzung,Vermietet
93,gebaeudeart,Reihenhaus
93,sicherungen,Standard
93,hochwasserzone,HWZ2
93,roof_material,Blech
93,heizung,Oel
94,plz_zone,A
94,baujahr_klasse,2000-2009
94,dachart,Sattel
94,nutzung,Vermietet
94,gebaeudeart,DHH
94,sicherungen,Standard
94,hochwasserzone,HWZ1
94,roof_material,Ziegel
94,heizung,Wärmepumpe
95,plz_zone,B
95,baujahr_klasse,<1950
95,dachart,Flach
95,nutzung,Vermietet
95,gebaeudeart,EFH
95,sicherungen,Standard
95,hochwasserzone,HWZ0
95,roof_material,Ziegel
95,heizung,Oel
96,plz_zone,A
96,baujahr_klasse,<1950
96,dachart,Sattel
96,nutzung,Eigennutzung
96,gebaeudeart,Reihenhaus
96,sicherungen,Standard
96,hochwasserzone,HWZ2
96,roof_material,Schiefer
96,heizung,Wärmepumpe
97,plz_zone,A
97,baujahr_klasse,<1950
97,dachart,Walmdach
97,nutzung,Vermietet
97,gebaeudeart,EFH
97,sicherungen,Standard
97,hochwasserzone,HWZ0
97,roof_material,Bitumen
97,heizung,Fernwärme
98,plz_zone,A
98,baujahr_klasse,1950-1979
98,dachart,Sattel
98,nutzung,Vermietet
98,gebaeudeart,Reihenhaus
98,sicherungen,Standard
98,hochwasserzone,HWZ1
98,roof_material,Blech
98,heizung,Wärmepumpe
99,plz_zone,B
99,baujahr_klasse,2010+
99,dachart,Flach
99,nutzung,Eigennutzung
99,gebaeudeart,EFH
99,sicherungen,Erweitert
99,hochwasserzone,HWZ0
99,roof_material,Blech
99,heizung,Gas
100,plz_zone,D
100,baujahr_klasse,1950-1979
100,dachart,Flach
100,nutzung,Eigennutzung
100,gebaeudeart,MFH
100,sicherungen,Erweitert
100,hochwasserzone,HWZ1
100,roof_material,Bitumen
100,heizung,Gas
101,plz_zone,B
101,baujahr_klasse,2000-2009
101,dachart,Sattel
101,nutzung,Eigennutzung
101,gebaeudeart,EFH
101,sicherungen,Standard
101,hochwasserzone,HWZ3
101,roof_material,Blech
101,heizung,Gas
102,plz_zone,B
102,baujahr_klasse,1980-1999
102,dachart,Sattel
102,nutzung,Eigennutzung
102,gebaeudeart,EFH
102,sicherungen,Standard
102,hochwasserzone,HWZ1
102,roof_material,Ziegel
102,heizung,Oel
103,plz_zone,D
103,baujahr_klasse,<1950
103,dachart,Sattel
103,nutzung,Eigennutzung
103,gebaeudeart,Reihenhaus
103,sicherungen,Standard
103,hochwasserzone,HWZ3
103,roof_material,Bitumen
103,heizung,Fernwärme
104,plz_zone,D
104,baujahr_klasse,2000-2009
104,dachart,Flach
104,nutzung,Eigennutzung
104,gebaeudeart,MFH
104,sicherungen,Standard
104,hochwasserzone,HWZ3
104,roof_material,Schiefer
104,heizung,Fernwärme
105,plz_zone,C
105,baujahr_klasse,1950-1979
105,dachart,Walmdach
105,nutzung,Eigennutzung
105,gebaeudeart,DHH
105,sicherungen,Standard
105,hochwasserzone,HWZ0
105,roof_material,Bitumen
105,heizung,Fernwärme
106,plz_zone,C
106,baujahr_klasse,2010+
106,dachart,Sattel
106,nutzung,Eigennutzung
106,gebaeudeart,MFH
106,sicherungen,Standard
106,hochwasserzone,HWZ1
106,roof_material,Bitumen
106,heizung,Gas
107,plz_zone,A
107,baujahr_klasse,<1950
107,dachart,Flach
107,nutzung,Vermietet
107,gebaeudeart,EFH
107,sicherungen,Standard
107,hochwasserzone,HWZ0
107,roof_material,Blech
107,heizung,Fernwärme
108,plz_zone,D
108,baujahr_klasse,1980-1999
108,dachart,Walmdach
108,nutzung,Vermietet
108,gebaeudeart,DHH
108,sicherungen,Erweitert
108,hochwasserzone,HWZ3
108,roof_material,Bitumen
108,heizung,Wärmepumpe
109,plz_zone,A
109,baujahr_klasse,<1950
109,dachart,Flach
109,nutzung,Eigennutzung
109,gebaeudeart,DHH
109,sicherungen,Erweitert
109,hochwasserzone,HWZ0
109,roof_material,Schiefer
109,heizung,Gas
110,plz_zone,A
110,baujahr_klasse,2000-2009
110,dachart,Sattel
110,nutzung,Vermietet
110,gebaeudeart,EFH
110,sicherungen,Erweitert
110,hochwasserzone,HWZ2
110,roof_material,Ziegel
110,heizung,Wärmepumpe
111,plz_zone,D
111,baujahr_klasse,<1950
111,dachart,Sattel
111,nutzung,Vermietet
111,gebaeudeart,EFH
111,sicherungen,Erweitert
111,hochwasserzone,HWZ1
111,roof_material,Bitumen
111,heizung,Oel
112,plz_zone,C
112,baujahr_klasse,<1950
112,dachart,Walmdach
112,nutzung,Vermietet
112,gebaeudeart,Reihenhaus
112,sicherungen,Standard
112,hochwasserzone,HWZ1
112,roof_material,Schiefer
112,heizung,Gas
113,plz_zone,D
113,baujahr_klasse,<1950
113,dachart,Flach
113,nutzung,Vermietet
113,gebaeudeart,MFH
113,sicherungen,Standard
113,hochwasserzone,HWZ1
113,roof_material,Blech
113,heizung,Oel
114,plz_zone,C
114,baujahr_klasse,1950-1979
114,dachart,Sattel
114,nutzung,Eigennutzung
114,gebaeudeart,Reihenhaus
114,sicherungen,Erweitert
114,hochwasserzone,HWZ0
114,roof_material,Bitumen
114,heizung,Fernwärme
115,plz_zone,B
115,baujahr_klasse,1950-1979
115,dachart,Walmdach
115,nutzung,Vermietet
115,gebaeudeart,EFH
115,sicherungen,Standard
115,hochwasserzone,HWZ1
115,roof_material,Blech
115,heizung,Gas
116,plz_zone,C
116,baujahr_klasse,2000-2009
116,dachart,Sattel
116,nutzung,Eigennutzung
116,gebaeudeart,MFH
116,sicherungen,Standard
116,hochwasserzone,HWZ2
116,roof_material,Schiefer
116,heizung,Gas
117,plz_zone,D
117,baujahr_klasse,<1950
117,dachart,Walmdach
117,nutzung,Eigennutzung
117,gebaeudeart,DHH
117,sicherungen,Standard
117,hochwasserzone,HWZ0
117,roof_material,Bitumen
117,heizung,Fernwärme
