policy_id,product,partner,start_date,end_date,state,sum_insured,deductible,channel,premium_gross,premium_net
81,Wohngebaeude,PartnerA,2023-07-08,2024-12-31,active,831000,150,Direkt,806.21,677.49
82,Wohngebaeude,PartnerB,2020-10-19,2023-09-12,active,946000,300,Makler,1012.46,850.81
83,Wohngebaeude,PartnerB,2023-12-09,2024-12-31,cancelled,634000,150,Makler,424.13,356.41
84,Wohngebaeude,PartnerC,2020-10-21,2021-10-29,auto_issued,283000,300,Makler,281.65,236.68
85,Wohngebaeude,PartnerC,2021-09-21,2024-10-17,active,388000,300,Makler,263.51,221.44
86,Wohngebaeude,PartnerA,2022-03-07,2024-06-11,active,473000,300,Makler,338.89,284.78
87,Wohngebaeude,PartnerC,2020-03-27,2022-12-07,auto_issued,298000,500,Makler,182.65,153.49
88,Wohngebaeude,PartnerA,2022-08-11,2024-12-13,active,968000,150,Makler,600.11,504.29
89,Wohngebaeude,PartnerA,2021-04-07,2024-05-12,auto_issued,389000,500,Vergleichsportal,400.45,336.51
90,Wohngebaeude,PartnerC,2022-07-23,2024-05-05,active,719000,300,Makler,625.65,525.76
91,Wohngebaeude,PartnerB,2023-10-16,2024-12-31,active,465000,150,Direkt,374.46,314.67
92,Wohngebaeude,PartnerC,2022-11-06,2024-12-31,active,163000,500,Direkt,142.8,120.0
93,Wohngebaeude,PartnerA,2023-02-08,2024-12-31,cancelled,775000,1000,Makler,758.89,637.72
94,Wohngebaeude,PartnerB,2022-02-26,2023-10-26,auto_issued,876000,150,Makler,887.64,745.92
95,Wohngebaeude,PartnerA,2021-01-02,2024-11-06,active,545000,150,Direkt,374.27,314.51
96,Wohngebaeude,PartnerB,2021-03-03,2022-06-19,active,272000,300,Direkt,173.98,146.2
97,Wohngebaeude,PartnerB,2023-08-18,2024-12-31,active,993000,150,Makler,1013.32,851.53
98,Wohngebaeude,PartnerB,2020-03-08,2023-03-16,auto_issued,566000,300,Makler,328.07,275.69
99,Wohngebaeude,PartnerA,2021-06-23,2022-12-17,active,389000,300,Makler,300.83,252.8
100,Wohngebaeude,PartnerA,2022-09-30,2024-12-31,cancelled,729000,300,Makler,652.38,548.22
101,Wohngebaeude,PartnerA,2021-09-13,2024-08-21,auto_issued,577000,150,Makler,419.93,352.88
102,Wohngebaeude,PartnerA,2020-07-11,2022-02-13,auto_issued,346000,300,Direkt,342.96,288.2
103,Wohngebaeude,PartnerA,2022-04-15,2024-12-31,cancelled,545000,300,Makler,488.76,410.72
104,Wohngebaeude,PartnerC,2021-01-25,2024-12-31,active,207000,150,Direkt,142.8,120.0
105,Wohngebaeude,PartnerB,2022-05-17,2024-10-07,cancelled,796000,300,Vergleichsportal,812.73,682.97
106,Wohngebaeude,PartnerB,2023-10-16,2024-12-31,active,253000,150,Vergleichsportal,191.49,160.92
107,Wohngebaeude,PartnerB,2022-12-06,2024-12-31,active,235000,300,Makler,176.42,148.25
108,Wohngebaeude,PartnerA,2022-04-10,2024-12-31,active,475000,300,Direkt,298.8,251.09
109,Wohngebaeude,PartnerB,2022-09-27,2024-12-31,active,417000,150,Makler,381.1,320.25
110,Wohngebaeude,PartnerC,2023-09-28,2024-12-31,active,220000,500,Vergleichsportal,212.07,178.21
111,Wohngebaeude,PartnerB,2022-09-02,2024-12-31,active,894000,150,Makler,559.03,469.77
112,Wohngebaeude,PartnerB,2021-03-26,2024-09-09,active,587000,500,Direkt,329.15,276.6
113,Wohngebaeude,PartnerA,2020-07-16,2022-02-02,active,330000,300,Makler,245.82,206.57
114,Wohngebaeude,PartnerA,2022-01-15,2023-03-02,active,740000,500,Makler,568.62,477.83
115,Wohngebaeude,PartnerB,2023-02-16,2024-12-31,auto_issued,942000,300,Makler,1014.17,852.24
116,Wohngebaeude,PartnerA,2023-06-03,2024-12-31,active,934000,150,Makler,657.24,552.3
117,Wohngebaeude,PartnerA,2020-07-12,2023-11-06,active,887000,150,Makler,705.29,592.68
118,Wohngebaeude,PartnerA,2020-07-26,2023-07-18,active,235000,150,Direkt,142.8,120.0
119,Wohngebaeude,PartnerB,2021-06-15,2024-12-31,active,360000,150,Vergleichsportal,233.04,195.83
120,Wohngebaeude,PartnerC,2022-10-04,2024-12-21,cancelled,570000,1000,Makler,539.33,453.22
121,Wohngebaeude,PartnerB,2020-02-28,2023-02-16,auto_issued,946000,300,Makler,667.04,560.54
122,Wohngebaeude,PartnerB,2023-07-10,2024-12-31,active,432000,150,Makler,284.27,238.88
123,Wohngebaeude,PartnerA,2021-01-16,2022-05-26,auto_issued,818000,500,Makler,873.32,733.88
124,Wohngebaeude,PartnerC,2023-08-16,2024-10-25,auto_issued,609000,300,Makler,473.0,397.48
125,Wohngebaeude,PartnerB,2022-08-09,2024-12-31,active,994000,500,Makler,767.1,644.62
126,Wohngebaeude,PartnerA,2022-02-19,2024-09-01,auto_issued,463000,150,Direkt,337.39,283.52
127,Wohngebaeude,PartnerA,2021-10-23,2023-03-24,auto_issued,686000,150,Makler,556.57,467.71
128,Wohngebaeude,PartnerA,2021-01-02,2024-06-19,active,944000,300,Makler,813.89,683.94
129,Wohngebaeude,PartnerB,2020-08-15,2024-01-01,auto_issued,996000,150,Direkt,988.46,830.64
130,Wohngebaeude,PartnerA,2023-08-19,2024-12-31,active,174000,300,Makler,182.7,153.53
131,Wohngebaeude,PartnerB,2021-10-12,2023-08-11,auto_issued,963000,500,Makler,554.84,466.25
132,Wohngebaeude,PartnerB,2023-03-21,2024-12-31,active,466000,500,Makler,354.56,297.95
133,Wohngebaeude,PartnerA,2021-01-16,2022-10-29,auto_issued,936000,150,Direkt,980.06,823.58
134,Wohngebaeude,PartnerC,2021-03-21,2023-11-23,active,718000,150,Direkt,419.25,352.31
135,Wohngebaeude,PartnerA,2022-11-26,2024-12-31,active,663000,150,Makler,473.91,398.24
136,Wohngebaeude,PartnerA,2022-01-04,2023-12-06,auto_issued,743000,300,Direkt,726.44,610.45
137,Wohngebaeude,PartnerB,2022-08-29,2024-12-31,active,721000,300,Makler,504.45,423.91
138,Wohngebaeude,PartnerC,2023-12-27,2024-12-31,active,592000,1000,Makler,501.83,421.71
139,Wohngebaeude,PartnerB,2021-12-01,2024-12-31,active,664000,150,Makler,610.82,513.29
140,Wohngebaeude,PartnerC,2023-07-16,2024-12-31,active,239000,150,Makler,260.9,219.24
141,Wohngebaeude,PartnerA,2020-04-08,2021-07-17,active,931000,150,Direkt,1033.75,868.7
142,Wohngebaeude,PartnerB,2022-03-19,2024-12-31,auto_issued,690000,300,Makler,482.02,405.06
143,Wohngebaeude,PartnerA,2023-06-05,2024-12-12,auto_issued,296000,500,Makler,176.22,148.08
144,Wohngebaeude,PartnerA,2020-01-15,2021-08-19,active,308000,150,Direkt,225.14,189.19
145,Wohngebaeude,PartnerA,2021-12-21,2023-12-25,active,441000,150,Makler,256.8,215.8
146,Wohngebaeude,PartnerC,2020-02-13,2021-09-02,auto_issued,490000,300,Makler,406.14,341.29
147,Wohngebaeude,PartnerB,2022-10-05,2024-12-31,cancelled,666000,300,Makler,454.89,382.26
148,Wohngebaeude,PartnerB,2023-07-23,2024-12-31,active,856000,150,Direkt,939.65,789.62
149,Wohngebaeude,PartnerB,2023-05-12,2024-05-22,active,848000,500,Makler,703.79,591.42
150,Wohngebaeude,PartnerA,2023-08-08,2024-12-31,active,528000,150,Makler,410.25,344.75
151,Wohngebaeude,PartnerB,2023-06-09,2024-09-22,active,489000,300,Direkt,332.05,279.03
152,Wohngebaeude,PartnerB,2020-10-17,2022-04-06,active,326000,150,Direkt,304.83,256.16
153,Wohngebaeude,PartnerC,2023-01-30,2024-07-13,active,781000,150,Makler,735.0,617.65
154,Wohngebaeude,PartnerC,2023-03-05,2024-12-31,active,368000,300,Makler,328.17,275.77
155,Wohngebaeude,PartnerA,2021-11-02,2023-02-19,auto_issued,879000,150,Vergleichsportal,904.13,759.77
156,Wohngebaeude,PartnerA,2022-10-28,2024-06-18,active,629000,150,Makler,584.91,491.52
157,Wohngebaeude,PartnerA,2021-05-20,2024-02-03,active,701000,300,Makler,430.65,361.89
158,Wohngebaeude,PartnerB,2021-11-27,2023-08-08,active,927000,150,Makler,588.3,494.37
159,Wohngebaeude,PartnerA,2021-12-05,2023-10-06,active,998000,150,Makler,958.91,805.81
160,Wohngebaeude,PartnerC,2022-01-23,2024-01-07,active,360000,300,Makler,323.3,271.68
161,Wohngebaeude,PartnerA,2023-09-15,2024-12-31,active,692000,300,Makler,537.74,451.88
162,Wohngebaeude,PartnerA,2020-11-30,2022-04-04,cancelled,296000,300,Makler,303.53,255.07
163,Wohngebaeude,PartnerA,2021-01-18,2022-02-03,active,543000,300,Makler,418.14,351.38
164,Wohngebaeude,PartnerA,2021-05-27,2024-12-31,active,861000,500,Makler,455.88,383.09
165,Wohngebaeude,PartnerA,2020-04-20,2021-05-30,active,505000,500,Makler,326.69,274.53
166,Wohngebaeude,PartnerB,2021-08-14,2024-12-31,auto_issued,263000,150,Direkt,154.68,129.98
167,Wohngebaeude,PartnerA,2023-12-11,2024-12-31,auto_issued,940000,500,Direkt,534.62,449.26
168,Wohngebaeude,PartnerA,2021-05-07,2023-03-03,auto_issued,701000,300,Vergleichsportal,396.82,333.46
169,Wohngebaeude,PartnerA,2023-01-11,2024-12-31,active,177000,300,Direkt,160.25,134.66
170,Wohngebaeude,PartnerB,2023-09-17,2024-12-31,active,821000,300,Direkt,694.12,583.29
171,Wohngebaeude,PartnerC,2020-02-02,2022-07-25,active,220000,300,Direkt,146.19,122.85
172,Wohngebaeude,PartnerC,2021-07-21,2024-10-22,active,977000,300,Direkt,513.46,431.48
173,Wohngebaeude,PartnerA,2021-05-04,2022-12-09,active,405000,300,Makler,240.27,201.91
174,Wohngebaeude,PartnerB,2023-11-05,2024-12-31,auto_issued,208000,300,Vergleichsportal,226.22,190.1
175,Wohngebaeude,PartnerA,2021-03-24,2022-08-07,active,652000,150,Makler,422.0,354.62
176,Wohngebaeude,PartnerA,2022-05-26,2024-12-31,active,523000,300,Makler,405.02,340.35
177,Wohngebaeude,PartnerC,2023-03-15,2024-12-31,auto_issued,836000,500,Makler,748.37,628.88
178,Wohngebaeude,PartnerC,2021-01-31,2022-07-30,active,750000,150,Direkt,608.84,511.63
179,Wohngebaeude,PartnerA,2023-10-29,2024-11-07,active,229000,150,Makler,229.55,192.9
180,Wohngebaeude,PartnerB,2023-10-02,2024-12-31,active,727000,500,Direkt,378.03,317.67
181,Wohngebaeude,PartnerA,2023-02-27,2024-12-31,active,402000,300,Makler,333.58,280.32
182,Wohngebaeude,PartnerA,2020-08-24,2022-08-28,active,239000,300,Makler,198.94,167.18
183,Wohngebaeude,PartnerC,2023-08-14,2024-12-31,active,451000,150,Direkt,403.43,339.02
184,Wohngebaeude,PartnerC,2020-11-01,2023-03-02,active,603000,150,Direkt,408.97,343.67
185,Wohngebaeude,PartnerA,2021-02-04,2023-01-10,active,374000,1000,Makler,274.22,230.44
186,Wohngebaeude,PartnerA,2021-09-24,2023-08-30,active,828000,150,Makler,578.44,486.08
187,Wohngebaeude,PartnerB,2020-06-23,2022-03-27,active,175000,300,Makler,142.8,120.0
188,Wohngebaeude,PartnerB,2020-08-10,2021-10-02,auto_issued,222000,150,Makler,176.83,148.6
189,Wohngebaeude,PartnerC,2022-04-30,2024-08-24,cancelled,495000,500,Direkt,489.64,411.46
190,Wohngebaeude,PartnerA,2020-04-14,2023-07-06,active,568000,500,Makler,352.03,295.82
191,Wohngebaeude,PartnerB,2022-12-14,2024-12-31,auto_issued,652000,300,Direkt,438.1,368.15
192,Wohngebaeude,PartnerB,2020-03-16,2024-03-12,auto_issued,408000,300,Direkt,295.23,248.09
193,Wohngebaeude,PartnerA,2023-11-27,2024-12-31,auto_issued,608000,150,Makler,666.29,559.91
194,Wohngebaeude,PartnerC,2020-07-13,2023-07-26,active,398000,300,Direkt,407.53,342.46
195,Wohngebaeude,PartnerA,2020-04-29,2021-05-07,active,874000,300,Direkt,940.61,790.43
196,Wohngebaeude,PartnerA,2023-09-17,2024-12-31,active,335000,500,Direkt,176.91,148.66
197,Wohngebaeude,PartnerB,2020-09-19,2022-04-17,active,801000,150,Makler,440.4,370.08
198,Wohngebaeude,PartnerA,2021-11-25,2024-01-11,auto_issued,948000,500,Makler,600.4,504.54
199,Wohngebaeude,PartnerB,2022-05-09,2023-12-04,active,316000,150,Makler,183.39,154.11
200,Wohngebaeude,PartnerA,2020-09-30,2023-09-26,active,795000,500,Makler,557.73,468.68
201,Wohngebaeude,PartnerC,2020-05-22,2024-01-28,active,197000,300,Makler,177.21,148.92
202,Wohngebaeude,PartnerB,2022-11-15,2024-12-31,cancelled,885000,150,Makler,888.8,746.89
203,Wohngebaeude,PartnerB,2022-10-03,2024-03-08,auto_issued,444000,150,Makler,292.32,245.65
204,Wohngebaeude,PartnerA,2022-08-31,2024-12-31,active,258000,300,Direkt,227.29,191.0
205,Wohngebaeude,PartnerA,2023-10-05,2024-12-31,active,265000,150,Makler,159.65,134.16
206,Wohngebaeude,PartnerA,2023-07-30,2024-12-31,active,189000,500,Makler,181.43,152.46
207,Wohngebaeude,PartnerA,2021-05-10,2024-09-21,active,957000,300,Makler,505.39,424.7
208,Wohngebaeude,PartnerA,2022-01-20,2023-06-14,auto_issued,771000,500,Makler,655.12,550.52
209,Wohngebaeude,PartnerC,2022-07-05,2024-02-25,active,887000,150,Makler,613.5,515.55
210,Wohngebaeude,PartnerA,2022-04-06,2024-12-31,active,406000,150,Makler,374.64,314.82
211,Wohngebaeude,PartnerB,2023-02-16,2024-12-31,auto_issued,221000,150,Makler,142.8,120.0
212,Wohngebaeude,PartnerC,2020-05-16,2024-04-16,active,580000,150,Direkt,620.37,521.32
213,Wohngebaeude,PartnerB,2022-10-31,2024-05-22,auto_issued,486000,300,Makler,294.1,247.14
214,Wohngebaeude,PartnerB,2021-05-16,2024-05-13,active,709000,150,Vergleichsportal,783.73,658.6
215,Wohngebaeude,PartnerB,2023-12-13,2024-12-31,auto_issued,744000,150,Makler,710.25,596.85
216,Wohngebaeude,PartnerA,2020-09-18,2023-05-23,active,705000,500,Makler,595.0,500.0
217,Wohngebaeude,PartnerB,2023-10-23,2024-12-31,auto_issued,938000,150,Makler,528.46,444.08
218,Wohngebaeude,PartnerB,2022-12-18,2024-09-03,auto_issued,203000,150,Direkt,142.8,120.0
219,Wohngebaeude,PartnerA,2022-11-08,2024-12-31,active,725000,500,Makler,511.12,429.51
220,Wohngebaeude,PartnerA,2023-08-19,2024-12-31,active,349000,150,Makler,335.41,281.86
221,Wohngebaeude,PartnerA,2023-12-30,2024-12-31,active,555000,300,Makler,414.63,348.43
222,Wohngebaeude,PartnerA,2022-03-22,2024-12-31,active,623000,300,Makler,375.53,315.57
223,Wohngebaeude,PartnerB,2022-09-12,2024-12-31,active,827000,300,Vergleichsportal,604.96,508.37
224,Wohngebaeude,PartnerA,2023-06-11,2024-12-31,active,524000,150,Makler,453.94,381.46
225,Wohngebaeude,PartnerA,2023-06-21,2024-12-31,active,930000,150,Vergleichsportal,574.07,482.41
226,Wohngebaeude,PartnerB,2021-02-09,2023-08-06,active,803000,1000,Makler,763.48,641.58
227,Wohngebaeude,PartnerC,2023-02-26,2024-12-31,active,611000,500,Makler,632.51,531.52
228,Wohngebaeude,PartnerC,2023-08-25,2024-12-31,auto_issued,832000,500,Makler,652.25,548.11
229,Wohngebaeude,PartnerB,2020-05-04,2023-12-21,auto_issued,715000,150,Makler,771.27,648.13
230,Wohngebaeude,PartnerC,2021-12-25,2023-12-07,auto_issued,539000,300,Makler,336.26,282.57
231,Wohngebaeude,PartnerA,2022-01-11,2024-01-05,active,547000,500,Makler,485.08,407.63
232,Wohngebaeude,PartnerC,2020-01-14,2023-02-22,auto_issued,473000,150,Makler,269.15,226.18
233,Wohngebaeude,PartnerB,2020-11-07,2024-07-08,cancelled,723000,300,Direkt,673.1,565.63
234,Wohngebaeude,PartnerA,2023-02-06,2024-12-31,active,856000,1000,Vergleichsportal,869.52,730.69
235,Wohngebaeude,PartnerA,2023-06-15,2024-10-20,cancelled,155000,150,Makler,142.8,120.0
236,Wohngebaeude,PartnerB,2023-06-12,2024-12-31,auto_issued,969000,150,Vergleichsportal,1038.12,872.37
237,Wohngebaeude,PartnerB,2022-10-01,2024-05-17,cancelled,702000,1000,Makler,692.02,581.53
238,Wohngebaeude,PartnerC,2020-07-23,2023-02-04,active,844000,500,Makler,583.91,490.68
239,Wohngebaeude,PartnerA,2022-11-26,2024-03-07,active,193000,150,Makler,204.12,171.53
240,Wohngebaeude,PartnerA,2022-11-26,2024-12-31,auto_issued,561000,150,Makler,318.99,268.06
241,Wohngebaeude,PartnerB,2022-08-11,2024-02-06,active,330000,150,Vergleichsportal,210.31,176.73
242,Wohngebaeude,PartnerC,2021-10-18,2024-07-05,active,695000,150,Makler,762.67,640.9
243,Wohngebaeude,PartnerB,2022-12-09,2024-12-31,active,220000,150,Vergleichsportal,168.22,141.36
244,Wohngebaeude,PartnerA,2020-04-21,2021-05-04,active,250000,150,Makler,212.53,178.6
245,Wohngebaeude,PartnerB,2021-03-25,2023-01-10,active,761000,500,Makler,713.04,599.19
246,Wohngebaeude,PartnerA,2022-04-01,2024-11-06,active,505000,500,Makler,401.92,337.75
247,Wohngebaeude,PartnerA,2022-09-14,2024-12-31,cancelled,557000,500,Makler,515.72,433.38
248,Wohngebaeude,PartnerB,2021-12-18,2024-12-31,active,466000,1000,Direkt,431.85,362.9
249,Wohngebaeude,PartnerC,2021-05-05,2024-12-31,active,396000,150,Makler,247.39,207.89
250,Wohngebaeude,PartnerA,2021-04-13,2023-07-27,active,322000,300,Makler,248.41,208.75
251,Wohngebaeude,PartnerA,2023-03-16,2024-12-31,cancelled,278000,150,Makler,203.03,170.61
252,Wohngebaeude,PartnerA,2020-01-10,2023-09-15,auto_issued,820000,1000,Makler,662.03,556.33
253,Wohngebaeude,PartnerA,2022-12-17,2024-12-31,auto_issued,350000,300,Makler,238.45,200.38
254,Wohngebaeude,PartnerA,2023-01-10,2024-12-31,active,844000,300,Vergleichsportal,872.88,733.51
255,Wohngebaeude,PartnerB,2020-06-27,2023-10-03,active,182000,150,Direkt,142.8,120.0
256,Wohngebaeude,PartnerC,2022-02-16,2023-05-21,auto_issued,858000,500,Vergleichsportal,683.88,574.69
257,Wohngebaeude,PartnerA,2021-06-18,2024-01-15,auto_issued,583000,150,Makler,479.76,403.16
258,Wohngebaeude,PartnerB,2021-06-16,2022-12-21,active,416000,1000,Makler,292.78,246.03
259,Wohngebaeude,PartnerB,2023-04-24,2024-12-31,active,205000,1000,Makler,175.53,147.5
260,Wohngebaeude,PartnerC,2022-03-06,2024-12-31,auto_issued,775000,150,Makler,581.29,488.48
261,Wohngebaeude,PartnerC,2023-10-03,2024-12-31,active,529000,500,Direkt,457.39,384.36
262,Wohngebaeude,PartnerA,2022-03-01,2024-12-31,active,764000,300,Makler,415.52,349.18
263,Wohngebaeude,PartnerA,2022-06-25,2024-10-21,active,231000,1000,Makler,227.15,190.88
264,Wohngebaeude,PartnerA,2023-09-10,2024-12-31,auto_issued,638000,300,Makler,428.9,360.42
265,Wohngebaeude,PartnerA,2022-10-04,2024-06-10,active,622000,300,Direkt,481.55,404.66
266,Wohngebaeude,PartnerC,2022-06-21,2024-12-31,active,950000,150,Makler,849.97,714.26
267,Wohngebaeude,PartnerA,2022-10-26,2024-12-31,active,209000,300,Makler,142.8,120.0
268,Wohngebaeude,PartnerC,2023-09-13,2024-12-31,active,818000,150,Makler,824.79,693.1
